PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;A.12 Operations Security;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;FAIL;Multiregion trail lz-org-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_cloudwatch_logging_enabled;False;lz-org-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;A.12 Operations Security;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;PASS;Multiregion trail range-trail has been logging in the last 24h.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_cloudwatch_logging_enabled;False;range-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;A.12 Operations Security;A.12.4.Q;Logging and Monitoring;Ensure CloudTrail trails are integrated with CloudWatch Logs;FAIL;Single region trail stratus-red-team-ct-stop-trail-arzkiholin has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_cloudwatch_logging_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;A.12 Operations Security;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;MANUAL;Trail lz-org-trail is delivering logs to bucket lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID> which is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;lz-org-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;A.12 Operations Security;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;FAIL;Multiregion Trail range-trail S3 bucket access logging is not enabled for bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID>.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;range-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;A.12 Operations Security;A.12.4.O;Logging and Monitoring;Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket;FAIL;Single region Trail stratus-red-team-ct-stop-trail-arzkiholin S3 bucket access logging is not enabled for bucket stratus-red-team-ct-stop-bucket-arzkiholin.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_logs_s3_bucket_access_logging_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;MANUAL;Trail lz-org-trail bucket (lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID>) is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;lz-org-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;MANUAL;Trail lz-org-trail bucket (lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID>) is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;lz-org-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;PASS;S3 Bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID> from multiregion trail range-trail is not publicly accessible.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;range-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;PASS;S3 Bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID> from multiregion trail range-trail is not publicly accessible.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;range-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.4.S;Logging and Monitoring;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;PASS;S3 Bucket stratus-red-team-ct-stop-bucket-arzkiholin from single region trail stratus-red-team-ct-stop-trail-arzkiholin is not publicly accessible.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;stratus-red-team-ct-stop-trail-arzkiholin;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;A.12 Operations Security;A.12.6.J;Technical Vulnerability Management;Ensure the S3 bucket CloudTrail logs to is not publicly accessible;PASS;S3 Bucket stratus-red-team-ct-stop-bucket-arzkiholin from single region trail stratus-red-team-ct-stop-trail-arzkiholin is not publicly accessible.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;stratus-red-team-ct-stop-trail-arzkiholin;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;PASS;Trail lz-org-trail is multiregion and it is logging.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_multi_region_enabled;False;lz-org-trail;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.D;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL);A.12 Operations Security;A.12.4.D;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL);FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:log-group;cloudwatch_changes_to_network_acls_alarm_configured;False;<SANDBOX_ACCOUNT_ID>;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;A.12.4.C;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to network gateways;A.12 Operations Security;A.12.4.C;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to network gateways;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:log-group;cloudwatch_changes_to_network_gateways_alarm_configured;False;<SANDBOX_ACCOUNT_ID>;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
